Date,Product,Category,Price,Quantity,Customer,City
2025-02-16,Monitor,Electronics,45000,10,Maria,Rawalpindi
2025-02-18,Keyboard,Electronics,3500,5,Bilal,Karachi
2025-02-20,Mouse,Electronics,2500,3,Ayesha,Rawalpindi
2025-02-21,Mouse,Electronics,2500,6,Ayesha,Rawalpindi
2025-02-21,Headphones,Electronics,5000,2,Hassan,Lahore
2025-02-21,Desk Lamp,Furniture,3000,1,Hassan,Lahore
2025-02-22,Mouse,Electronics,2500,8,Sara,Islamabad
2025-02-24,Desk Lamp,Furniture,3000,3,Sara,Islamabad
2025-02-24,Monitor,Electronics,45000,10,Maria,Rawalpindi
2025-02-26,Monitor,Electronics,45000,9,Sara,Islamabad
2025-02-27,Desk Lamp,Furniture,3000,2,Zain,Islamabad
2025-02-27,Desk,Furniture,25000,10,Hassan,Lahore
2025-02-28,Monitor,Electronics,45000,9,Ali,Lahore
2025-02-28,Desk,Furniture,25000,6,Ayesha,Rawalpindi
2025-02-28,Desk,Furniture,25000,1,Sara,Islamabad
2025-02-28,Headphones,Electronics,5000,10,Ali,Lahore
2025-02-28,Backpack,Accessories,4000,6,Ayesha,Rawalpindi
2025-03-03,Laptop,Electronics,85000,9,Maria,Rawalpindi
2025-03-04,Pen,Stationery,100,1,Usman,Faisalabad
2025-03-06,Mouse,Electronics,2500,10,Hassan,Lahore
2025-03-06,Backpack,Accessories,4000,8,Ayesha,Rawalpindi
2025-03-09,Keyboard,Electronics,3500,1,Zain,Islamabad
2025-03-10,Pen,Stationery,100,4,Sara,Islamabad
2025-03-12,Laptop,Electronics,85000,4,Maria,Rawalpindi
2025-03-12,Notebook,Stationery,500,1,Ayesha,Rawalpindi
2025-03-13,Keyboard,Electronics,3500,9,Hassan,Lahore
2025-03-13,Notebook,Stationery,500,1,Fatima,Lahore
2025-03-14,Backpack,Accessories,4000,9,Maria,Rawalpindi
2025-03-14,Laptop,Electronics,85000,2,Hassan,Lahore
2025-03-16,Pen,Stationery,100,10,Hassan,Lahore
2025-03-18,Desk,Furniture,25000,8,Fatima,Lahore
2025-03-18,Backpack,Accessories,4000,2,Fatima,Lahore
2025-03-22,Headphones,Electronics,5000,3,Sara,Islamabad
2025-03-23,Headphones,Electronics,5000,9,Ayesha,Rawalpindi
2025-03-25,Monitor,Electronics,45000,9,Maria,Rawalpindi
2025-03-26,Keyboard,Electronics,3500,8,Sara,Islamabad
2025-03-27,Mouse,Electronics,2500,8,Ayesha,Rawalpindi
2025-03-29,Backpack,Accessories,4000,9,Ahmed,Karachi
2025-03-30,Headphones,Electronics,5000,3,Ahmed,Karachi
2025-03-31,Backpack,Accessories,4000,2,Ayesha,Rawalpindi
